Age,Nutrients,Animal,Exp,Animal ID,t h a1,t h t1,t h t2,t h i,t h tm,h h a1,h h t1,h h t2,h h i,h h tm,t bwm a1,t bwm t1,t bwm t2,t bwm i,t bwm tm,h bwm a1,h bwm t1,h bwm t2,h bwm i,h bwm tm,pm a1,pm t1,pm t2,pm i,pm tm,g a1,g t1,g t2,g i,g tm
11,AL,6,CMFLIM10,CMFLIM10 Animal6 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.692042622,0.581685,4.529235,13926.43392,1.797362148,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,6,CMFLIM14,CMFLIM14 Animal6 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.646102108,0.480337,4.135352,3558.370044,1.773839104,0.641340715,0.756859,4.557196,2309.301046,2.119885151,0.338113266,0.604641,4.887121,6290.882779,3.439157701,0.610518959,0.571685,3.801784,2819.792159,1.829747321
11,AL,7,CMFLIM10,CMFLIM10 Animal7 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.656137332,0.52228,3.949011,15084.86789,1.700604864,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,7,CMFLIM10,CMFLIM10 Animal7 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.657448324,0.584953,3.638157,19008.2769,1.630833147,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,3,CMFLIM14,CMFLIM14 Animal3 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.713382905,0.683413,3.663475,11268.05015,1.537549713,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,9,CMFLIM12,CMFLIM12 Animal9 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.687796903,0.619878,3.338764,6984.411085,1.46872263,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,4,CMFLIM10,CMFLIM10 Animal4 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.689123314,0.59518,3.166589,7541.079812,1.394571108,0.611807197,0.757456,3.970307,13141.72054,2.004661635,0.570905457,0.780861,4.310823,22543.36043,2.295548431,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,3,CMFLIM10,CMFLIM10 Animal3 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.760857877,0.619202,3.804264,8307.086614,1.380884489,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,5,CMFLIM10,CMFLIM10 Animal5 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.708850759,0.543373,2.990062,5737.288136,1.255724645,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,1,CMFLIM14,CMFLIM14 Animal1 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.749411967,0.593911,2.977076,6748.06701,1.19110363,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,9,CMFLIM10,CMFLIM10 Animal9 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.72491283,0.562166,2.836545,7901.930894,1.187818483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,8,CMFLIM14,CMFLIM14 Animal8 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.764154983,0.471637,3.151631,6556.661562,1.10370023,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,5,CMFLIM14,CMFLIM14 Animal5 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,0.709352286,3.921528,13.587443,9341.264446,6.730904098,0.770753311,0.515054,3.104605,3813.413859,1.108699993,0.706978731,0.597267,3.337477,8385.90604,1.400206812,0.415906453,0.664655,6.163422,5280.632411,3.876449321,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,9,CMFLIM14,CMFLIM14 Animal9 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,0.549936172,0.66353,3.994719,12325.20325,2.162777673,0.67293747,0.543579,4.128093,3339.007092,1.715939218,0.586383027,0.845058,4.557153,7789.772727,2.380443497,0.563151056,0.698174,4.214005,17289.31573,2.23406106,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,12,CMFLIM12,CMFLIM12 Animal12 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,0.632633642,0.657196,3.938171,2748.215136,1.862515836,0.763651729,0.632846,3.109589,2626.311542,1.218219926,0.726932323,0.631286,3.164727,4058.002937,1.323086849,0.71419758,0.557072,2.870839,3804.653417,1.218352208,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,3,CMFLIM12,CMFLIM12 Animal3 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,0.635977571,0.669101,3.65842,5327.46197,1.757280163,0.762809365,0.495928,3.206545,2437.810945,1.138860967,#N/A,#N/A,#N/A,#N/A,#N/A,0.700769042,0.797865,3.611687,4598.712446,1.639847653,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,12,CMFLIM12,CMFLIM12 Animal12 AL Day11,#N/A,#N/A,#N/A,#N/A,#N/A,0.574268221,0.523192,3.179564,6548.387097,1.654093977,0.495838313,0.834711,6.492453,12664.03785,3.687127751,0.738636613,0.59827,3.048584,5373.370064,1.238692366,0.699486618,0.672295,3.637353,8379.154079,1.563334607,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,8,CMFLIM12,CMFLIM12 Animal8 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,0.679102505,0.632985,3.109356,6878.414097,1.427646251,#N/A,#N/A,#N/A,#N/A,#N/A,0.729614871,0.607988,2.56211,3503.594536,1.136353529,0.758626455,0.52622,2.503776,7434.394904,1.003549702,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,5,CMFLIM14,CMFLIM14 Animal5 DR Day11,#N/A,#N/A,#N/A,#N/A,#N/A,0.669540159,0.586586,2.856213,4842.143906,1.336606578,0.790490219,0.513499,2.478572,3800,0.925201014,0.733475386,0.619791,2.833739,3030.12685,1.209862636,0.73188921,0.617046,2.637082,4023.046655,1.158639448,0.733176342,0.59163,2.999949,5024.819856,1.234226485
11,AL,1,CMFLIM10,CMFLIM10 Animal1 AL Day11,0.40470193,1.130685,6.046871,24585.15573,4.057281038,0.576776441,0.546683,3.496955,14568.92523,1.795307616,#N/A,#N/A,#N/A,#N/A,#N/A,0.63903854,0.680891,3.34375,7748.63388,1.642080472,0.599608282,0.5512,3.356187,9451.840251,1.674293564,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,8,CMFLIM12,CMFLIM12 Animal8 AL Day11,0.403992833,0.628961,5.14815,18485.9944,3.322430033,0.725522855,0.527599,2.833849,8036.54224,1.160611916,0.482862874,0.526838,5.744267,13991.10413,3.224964238,0.728791626,0.606583,2.713722,9143.396226,1.178056742,0.712651935,0.568912,2.718873,7909.69163,1.186699133,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,8,CMFLIM14,CMFLIM14 Animal8 DR Day11,0.517608298,0.792396,5.337614,5971.544715,2.984971447,#N/A,#N/A,#N/A,#N/A,#N/A,0.73081856,0.495234,3.216577,3735.336888,1.227769027,#N/A,#N/A,#N/A,#N/A,#N/A,0.566486635,0.572806,3.216964,4385.858586,1.719083832,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,7,CMFLIM12,CMFLIM12 Animal7 AL Day11,0.472680734,0.488305,4.94269,25249.40618,2.837188029,#N/A,#N/A,#N/A,#N/A,#N/A,0.401762181,0.678456,5.344855,19231.8362,3.47007236,#N/A,#N/A,#N/A,#N/A,#N/A,0.688200125,0.751873,3.656706,4623.470523,1.657599566,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,3,CMFLIM10,CMFLIM10 Animal3 AL Day11,0.444395273,0.699885,4.492949,33405.4878,2.807329288,#N/A,#N/A,#N/A,#N/A,#N/A,0.431327075,0.713144,4.647289,24381.89845,2.950385745,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,4,CMFLIM12,CMFLIM12 Animal4 AL Day11,0.506396978,0.73837,4.917985,14621.91358,2.801440595,#N/A,#N/A,#N/A,#N/A,#N/A,0.558236297,0.539926,5.118698,14634.62723,2.562661274,0.632866186,0.857523,4.627017,16222.00679,2.241431709,0.406579508,0.713789,4.560361,80215.51724,2.996423649,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,4,CMFLIM14,CMFLIM14 Animal4 DR Day11,0.516482805,0.828361,4.798699,8461.086637,2.748087693,#N/A,#N/A,#N/A,#N/A,#N/A,0.718429327,0.618836,3.55748,3132.984901,1.446271969,0.712045146,0.652309,3.278201,1765.590022,1.408447347,0.588294211,0.703655,3.798086,2907.028224,1.977650156,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,2,CMFLIM12,CMFLIM12 Animal2 DR Day11,0.536146375,0.800402,4.168659,9629.62963,2.362780219,0.581581694,0.705841,3.465875,6939.77591,1.860689751,0.723108876,0.639095,3.221596,2132.297064,1.354166605,#N/A,#N/A,#N/A,#N/A,#N/A,0.656432187,0.706274,3.278617,7300.333704,1.590048259,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,3,CMFLIM12,CMFLIM12 Animal3 AL Day11,0.551501998,0.514917,3.928163,11783.03965,2.045751011,0.692920566,0.533823,2.999358,9506.605399,1.290938092,0.696230837,0.517449,3.588859,11031.44904,1.450448645,0.769189028,0.519316,2.556369,7629.924242,0.989490183,0.645898252,0.61904,2.655197,11446.25113,1.340046753,#N/A,#N/A,#N/A,#N/A,#N/A
