AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM12 Day11 DR Animal10,11,DR,10,CMFLIM12,0.626919878,0.591905,3.142587,9032.783518,0.668532006,0.590963,2.87978,15715.90858,0.727214557,0.5583415,2.6019905,3446.893199,0.736411688,0.628426,2.6735035,11370.19794,0.755683936,0.5528715,2.378681,13276.63613,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day11 DR Animal11,11,DR,11,CMFLIM10,0.71018224,0.597552,2.508754,6284.972486,0.669252976,0.5883535,2.7178885,7176.677114,0.730871827,0.5681155,2.608165,9477.35732,0.75393564,0.6726945,2.8695655,10900.33577,0.742841543,0.544557,2.416159,11810.56447,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal11,11,DR,11,CMFLIM12,0.684404978,0.6700905,3.186077,3729.790741,0.651129709,0.6330185,2.9859515,6000.152573,0.758949168,0.6156345,2.656168,2590.68758,0.726030105,0.588025,2.7128185,2918.536194,0.727762299,0.569905,2.5121195,5574.998558,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day11 DR Animal12,11,DR,12,CMFLIM10,0.650010432,0.634634,2.890808,12764.54309,0.56510658,0.7337845,3.8376675,15693.35369,0.741981108,0.620948,2.802057,6785.51388,0.566164078,0.682732,4.038445,15310.69114,0.59932023,0.644788,3.970394,20277.31899,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal12,11,DR,12,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.63118281,0.631868,3.4488575,4390.198267,0.737955538,0.595889,2.79178,2630.857224,0.742003418,0.6387785,3.440827,2796.860421,0.711996355,0.586961,2.965194,3971.911219,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day11 DR Animal1,11,DR,1,CMFLIM10,0.615795438,0.595546,2.883336,4788.317422,0.674336172,0.624921,2.8394435,13671.04054,0.769236917,0.5917555,2.767486,11880.40695,0.74533523,0.6222455,2.7109145,10325.5842,0.731622,0.578642,2.522484,12604.0014,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal1,11,DR,1,CMFLIM12,0.660142129,0.6934785,3.2410075,9160.764648,0.681054097,0.558387,2.849626,14678.0797,0.73122111,0.656946,2.900518,2935.529639,0.738555722,0.6001535,2.669902,5116.53415,0.771735483,0.5142155,2.3922755,11843.37349,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 DR Animal1,11,DR,1,CMFLIM14,0.67240582,0.584007,2.925365,10524.47123,0.670427824,0.55792,2.806993,12494.10698,0.760326564,0.5785455,2.572941,8099.770795,0.733449462,0.613817,2.6889775,6052.392775,0.759152845,0.551747,2.731798,6589.798003,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day11 DR Animal2,11,DR,2,CMFLIM10,0.693572357,0.5813145,3.3247725,10862.41994,0.632390603,0.6903615,3.1348705,10768.17751,0.747984331,0.553652,2.731315,7300.252628,0.774000984,0.6292225,2.908047,11382.82211,0.725088996,0.595184,2.7541035,8247.347617,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal2,11,DR,2,CMFLIM12,0.527264591,0.726936,3.97392,8898.764829,0.583648878,0.675676,3.3741985,7430.255325,0.709752327,0.602685,3.223208,1844.849585,#N/A,#N/A,#N/A,#N/A,0.657916019,0.6664025,3.2424685,6601.343403,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 DR Animal2,11,DR,2,CMFLIM14,0.656635134,0.561917,3.028997,4149.029913,0.628845814,0.6258015,3.0839455,10503.95638,0.750516288,0.565164,2.6616775,1438.292812,#N/A,#N/A,#N/A,#N/A,0.658644121,0.60935,2.8056975,4740.834779,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal3,11,DR,3,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.596971261,0.67697,3.7456615,6977.578401,0.758629403,0.5038105,3.125923,1872.77697,#N/A,#N/A,#N/A,#N/A,0.704569917,0.7815885,3.4603285,4922.335438,#N/A,#N/A,#N/A,#N/A
